,city,lat,lon,temp,cloud,wind speed,humidity,country
147,mahebourg,-20.4081,57.7,21.81,70,6.18,73,MU
148,guiglo,6.5456,-7.4966,20.28,100,1.18,99,CI
149,bambous virieux,-20.3428,57.7575,21.79,65,6.54,74,MU
150,wagar,16.1525,36.2032,31.92,66,1.68,26,SD
151,sapa,5.1544,120.3241,28.69,78,2.42,75,PH
152,caxito,-8.5785,13.6643,22.63,57,0.67,87,AO
153,narsaq,60.9167,-46.05,-0.61,0,1.48,44,GL
154,longyearbyen,78.2186,15.6401,0.91,75,4.12,93,SJ
155,adre,13.4667,22.2,23.87,75,1.78,70,TD
156,korla,41.7597,86.1469,17.91,0,1.71,27,CN
157,isangel,-19.55,169.2667,25.43,8,4.3,59,VU
158,nanortalik,60.1432,-45.2371,1.46,1,1.72,71,GL
159,balykshi,47.0667,51.8667,12.0,75,7.0,82,KZ
160,durango,24.8333,-104.8333,17.91,60,1.42,78,MX
161,faya,18.3851,42.4509,16.29,71,2.17,24,SA
162,norman wells,65.282,-126.8329,1.71,100,1.25,95,CA
163,codrington,-38.2667,141.9667,16.18,98,1.98,65,AU
164,saint anthony,45.0205,-93.218,20.32,1,0.45,51,US
165,bonavista,48.6499,-53.1147,16.73,92,7.15,90,CA
166,bilibino,68.0546,166.4372,-7.01,100,3.42,90,RU
167,slagelse,55.4028,11.3546,15.99,100,4.96,93,DK
168,portland,45.5234,-122.6762,14.13,75,1.34,93,US
169,dingle,10.9995,122.6711,26.94,100,1.15,83,PH
170,brigantine,39.4101,-74.3646,21.18,1,4.12,73,US
171,monrovia,6.3005,-10.7969,23.87,100,6.49,86,LR
172,san marcos,33.1434,-117.1661,18.14,90,0.89,80,US
173,virginia beach,36.8529,-75.978,21.09,20,2.57,68,US
174,georgetown,5.4112,100.3354,26.54,20,1.03,88,MY
175,mumford,5.2618,-0.759,24.74,99,3.84,87,GH
176,farim,12.4839,-15.2217,23.97,76,1.41,97,GW
177,sao francisco de paula,-29.4481,-50.5836,17.08,0,1.63,89,BR
178,san pedro,14.35,121.0167,28.95,75,1.29,79,PH
179,llangefni,53.2556,-4.3106,11.81,20,9.26,62,GB
180,kassala,15.451,36.4,29.4,76,3.38,47,SD
181,strabychovo,48.3925,22.5431,13.12,9,2.05,83,UA
182,puro,12.4841,123.3827,28.63,96,2.27,75,PH
183,boca do acre,-8.7522,-67.3978,25.27,44,1.27,72,BR
184,boyolangu,-8.1181,111.8935,24.45,100,4.13,77,ID
185,urucara,-2.5364,-57.76,23.64,36,1.34,88,BR
186,turbat,26.0023,63.044,29.02,38,1.36,56,PK
187,tuatapere,-46.1333,167.6833,13.79,70,2.65,60,NZ
188,valparaiso,-33.0393,-71.6273,14.8,0,2.57,67,CL
189,ambilobe,-13.2,49.05,23.27,49,2.3,64,MG
190,henties bay,-22.116,14.2845,14.36,92,2.95,90,NA
191,kavaratti,10.5669,72.642,27.45,100,9.08,78,IN
192,ribeira grande,38.5167,-28.7,21.26,82,5.66,80,PT
193,pemangkat,1.1667,108.9667,25.33,99,2.14,86,ID
194,general roca,-39.0333,-67.5833,14.76,57,2.76,16,AR
195,axim,4.8699,-2.2405,24.75,100,2.34,90,GH
196,salalah,17.0151,54.0924,27.05,20,1.03,83,OM
197,new castle,41.0037,-80.347,21.91,1,2.06,69,US
198,atuona,-9.8,-139.0333,25.59,11,8.64,72,PF
199,burnie,-41.0667,145.9167,12.5,89,0.85,61,AU
200,yablonovo,50.8523,37.3574,7.92,69,3.8,87,RU
201,taitung,22.7583,121.1444,29.15,75,1.54,65,TW
202,khatanga,71.9667,102.5,-3.04,74,3.54,77,RU
203,the valley,18.217,-63.0578,27.92,0,5.62,68,AI
204,san cristobal,7.7669,-72.225,19.32,71,1.54,95,VE
205,bardiyah,31.7561,25.0865,23.32,0,5.85,72,LY
206,grand gaube,-20.0064,57.6608,21.88,60,3.13,71,MU
207,lujan,-34.5703,-59.105,11.25,100,2.68,94,AR
208,dhidhdhoo,6.8833,73.1,27.85,100,7.48,72,MV
209,jamame,0.0722,42.7506,25.7,73,5.42,68,SO
210,cianorte,-23.6633,-52.605,26.0,27,1.37,40,BR
211,albacete,38.8333,-2.0,14.45,0,0.51,72,ES
212,ouadda,8.0777,22.4007,20.62,100,0.91,93,CF
213,soller,39.7662,2.7152,20.75,39,1.85,77,ES
214,ayan,56.45,138.1667,9.08,57,1.53,66,RU
215,half moon bay,37.4636,-122.4286,20.15,90,1.54,77,US
216,port lincoln,-34.7333,135.8667,18.89,53,1.31,51,AU
217,pierre,44.3683,-100.351,29.53,1,0.45,38,US
218,kant,27.8,79.8,25.97,5,2.83,86,IN
219,gladstone,-23.85,151.25,21.96,90,6.17,64,AU
220,iralaya,15.0,-83.2333,27.28,7,2.83,78,HN
221,pevek,69.7008,170.3133,-4.45,100,2.28,71,RU
222,sao filipe,14.8961,-24.4956,26.45,8,3.14,79,CV
223,san joaquin,37.9333,-121.3011,24.44,1,8.23,49,US
224,itupiranga,-5.1347,-49.3267,25.55,43,1.75,74,BR
225,mankono,8.0586,-6.1897,21.77,99,0.92,94,CI
226,cap malheureux,-19.9842,57.6142,21.93,55,3.13,71,MU
227,fort nelson,58.8053,-122.7002,4.77,90,2.57,100,CA
228,kanigoro,-8.13,112.219,24.56,96,4.17,73,ID
229,ilulissat,69.2167,-51.1,-3.99,0,7.72,36,GL
230,beira,-19.8436,34.8389,21.73,77,2.53,87,MZ
231,nouadhibou,20.931,-17.0347,23.89,0,4.94,75,MR
232,asau,46.4333,26.4,13.13,89,0.98,77,RO
233,olafsvik,64.8945,-23.7142,3.32,93,13.75,92,IS
234,gamba,-2.65,10.0,24.75,100,1.11,84,GA
235,ous,60.9058,61.5186,-0.9,47,1.61,94,RU
236,saint-pierre,-21.3393,55.4781,19.46,0,2.06,76,RE
237,marawi,7.9986,124.2928,22.03,64,0.97,69,PH
238,vuktyl,63.8567,57.3094,2.36,93,1.56,73,RU
239,waitati,-45.75,170.5667,13.38,20,1.32,44,NZ
240,brazzaville,-4.2658,15.2832,25.27,44,1.19,72,CG
241,naron,43.5167,-8.1528,14.68,100,1.29,75,ES
242,kabanjahe,3.1001,98.4908,17.42,96,1.18,95,ID
243,klaksvik,62.2266,-6.589,7.51,100,5.67,86,FO
244,sept-iles,50.2001,-66.3821,12.81,94,0.89,86,CA
245,aswan,24.0934,32.907,26.15,0,5.44,31,EG
246,deputatskiy,69.3,139.9,-4.6,53,2.15,72,RU
247,colares,38.7992,-9.4469,18.97,95,1.79,72,PT
248,oksovskiy,62.6062,39.8984,7.33,94,0.96,89,RU
249,puerto concordia,2.6221,-72.7572,24.56,62,0.04,85,CO
250,carnarvon,-24.8667,113.6333,17.29,28,4.81,65,AU
251,harper,4.375,-7.7169,24.65,100,2.92,89,LR
252,yabelo,4.8833,38.0833,17.95,94,2.83,55,ET
253,ulcinj,41.9294,19.2244,17.12,33,1.94,58,ME
254,te anau,-45.4167,167.7167,11.34,28,2.03,59,NZ
255,khash,28.2211,61.2158,20.41,5,1.56,24,IR
256,vestmannaeyjar,63.4427,-20.2734,3.44,75,11.05,73,IS
257,parainen,60.3067,22.301,7.12,13,4.5,91,FI
258,porto walter,-8.2686,-72.7439,27.31,46,1.35,56,BR
259,port-cartier,50.0334,-66.8654,12.64,96,1.48,90,CA
260,grindavik,63.8424,-22.4338,3.26,40,10.8,70,IS
261,owando,-0.4819,15.8999,19.95,100,1.08,96,CG
262,atikokan,48.7555,-91.6216,12.53,18,1.34,51,CA
263,middelburg,-25.7751,29.4648,17.28,36,1.89,30,ZA
264,roma,43.2128,-75.4557,18.7,90,0.0,86,US
265,imbituba,-28.24,-48.6703,21.57,0,5.34,93,BR
266,santa cruz,-17.8,-63.1667,28.7,9,3.09,61,BO
267,verkhnyaya inta,65.9811,60.3094,2.88,100,5.34,74,RU
268,assiniboia,49.6334,-105.9845,26.71,82,4.17,18,CA
269,dunedin,-45.8742,170.5036,12.21,18,1.86,47,NZ
270,yellandu,17.6,80.3333,22.95,100,3.39,96,IN
271,adrar,20.5022,-10.0711,32.1,0,0.74,11,MR
272,port hardy,50.6996,-127.4199,10.43,100,6.86,92,CA
273,mayo,38.8876,-76.5119,21.28,1,0.45,67,US
